"epoch","yv5s-coco-zipf-mixup0.3 - _step","yv5s-coco-zipf-mixup0.3 - _step__MIN","yv5s-coco-zipf-mixup0.3 - _step__MAX","yv5s-coco-zipf-mixup0.3 - map","yv5s-coco-zipf-mixup0.3 - map__MIN","yv5s-coco-zipf-mixup0.3 - map__MAX","yv5s-coco-zipf-no-mosaic - _step","yv5s-coco-zipf-no-mosaic - _step__MIN","yv5s-coco-zipf-no-mosaic - _step__MAX","yv5s-coco-zipf-no-mosaic - map","yv5s-coco-zipf-no-mosaic - map__MIN","yv5s-coco-zipf-no-mosaic - map__MAX","yv5s-coco-zipf - _step","yv5s-coco-zipf - _step__MIN","yv5s-coco-zipf - _step__MAX","yv5s-coco-zipf - map","yv5s-coco-zipf - map__MIN","yv5s-coco-zipf - map__MAX"
"0","11","11","11","0.0009264403745664633","0.0009264403745664633","0.0009264403745664633","11","11","11","0.001095399532392185","0.001095399532392185","0.001095399532392185","11","11","11","0.00043610292856981046","0.00043610292856981046","0.00043610292856981046"
"1","23","23","23","0.001035248935780414","0.001035248935780414","0.001035248935780414","23","23","23","0.0016317962330840955","0.0016317962330840955","0.0016317962330840955","23","23","23","0.0018239711127750293","0.0018239711127750293","0.0018239711127750293"
"2","35","35","35","0.007866701043181662","0.007866701043181662","0.007866701043181662","35","35","35","0.0031233338646187406","0.0031233338646187406","0.0031233338646187406","35","35","35","0.015783226073325603","0.015783226073325603","0.015783226073325603"
"3","47","47","47","0.016759048317367468","0.016759048317367468","0.016759048317367468","47","47","47","0.024164665920142308","0.024164665920142308","0.024164665920142308","47","47","47","0.02575542031511471","0.02575542031511471","0.02575542031511471"
"4","59","59","59","0.02085315887330959","0.02085315887330959","0.02085315887330959","59","59","59","0.042216081677817305","0.042216081677817305","0.042216081677817305","59","59","59","0.029409799987770293","0.029409799987770293","0.029409799987770293"
"5","71","71","71","0.05273880417406152","0.05273880417406152","0.05273880417406152","71","71","71","0.049583196913463995","0.049583196913463995","0.049583196913463995","71","71","71","0.06319655643846868","0.06319655643846868","0.06319655643846868"
"6","83","83","83","0.061362160122382554","0.061362160122382554","0.061362160122382554","83","83","83","0.06019408702837616","0.06019408702837616","0.06019408702837616","83","83","83","0.07089517471685132","0.07089517471685132","0.07089517471685132"
"7","95","95","95","0.08582854437410449","0.08582854437410449","0.08582854437410449","95","95","95","0.059577852102096866","0.059577852102096866","0.059577852102096866","95","95","95","0.08873934884894064","0.08873934884894064","0.08873934884894064"
"8","107","107","107","0.08719649407984563","0.08719649407984563","0.08719649407984563","107","107","107","0.0795260659060031","0.0795260659060031","0.0795260659060031","107","107","107","0.08298065828156341","0.08298065828156341","0.08298065828156341"
"9","120","120","120","0.10274148773786523","0.10274148773786523","0.10274148773786523","120","120","120","0.07326833414127326","0.07326833414127326","0.07326833414127326","120","120","120","0.10683253686607212","0.10683253686607212","0.10683253686607212"
"10","132","132","132","0.10755063370535828","0.10755063370535828","0.10755063370535828","132","132","132","0.08239399211438557","0.08239399211438557","0.08239399211438557","132","132","132","0.1204842996448922","0.1204842996448922","0.1204842996448922"
"11","144","144","144","0.11364755107813354","0.11364755107813354","0.11364755107813354","144","144","144","0.09455602047555518","0.09455602047555518","0.09455602047555518","144","144","144","0.13241507584412507","0.13241507584412507","0.13241507584412507"
"12","156","156","156","0.11656617581957021","0.11656617581957021","0.11656617581957021","156","156","156","0.11105080093260976","0.11105080093260976","0.11105080093260976","156","156","156","0.13666377030322482","0.13666377030322482","0.13666377030322482"
"13","168","168","168","0.1396884956214105","0.1396884956214105","0.1396884956214105","168","168","168","0.10941483298433582","0.10941483298433582","0.10941483298433582","168","168","168","0.13008036305371434","0.13008036305371434","0.13008036305371434"
"14","180","180","180","0.13650400318894484","0.13650400318894484","0.13650400318894484","180","180","180","0.11214421345154767","0.11214421345154767","0.11214421345154767","180","180","180","0.13144993364843832","0.13144993364843832","0.13144993364843832"
"15","192","192","192","0.13362337317874298","0.13362337317874298","0.13362337317874298","192","192","192","0.1164930867680833","0.1164930867680833","0.1164930867680833","192","192","192","0.14084643513602368","0.14084643513602368","0.14084643513602368"
"16","204","204","204","0.14747101626587403","0.14747101626587403","0.14747101626587403","204","204","204","0.11063352690160069","0.11063352690160069","0.11063352690160069","204","204","204","0.1508383308871487","0.1508383308871487","0.1508383308871487"
"17","216","216","216","0.16320203270571293","0.16320203270571293","0.16320203270571293","216","216","216","0.11473646666194164","0.11473646666194164","0.11473646666194164","216","216","216","0.15227538590827422","0.15227538590827422","0.15227538590827422"
"18","228","228","228","0.15078117440407435","0.15078117440407435","0.15078117440407435","228","228","228","0.1272193453474315","0.1272193453474315","0.1272193453474315","228","228","228","0.14580788954994645","0.14580788954994645","0.14580788954994645"
"19","241","241","241","0.15600115840281814","0.15600115840281814","0.15600115840281814","241","241","241","0.1115192823440999","0.1115192823440999","0.1115192823440999","241","241","241","0.17352090004918702","0.17352090004918702","0.17352090004918702"
"20","253","253","253","0.16410303335136592","0.16410303335136592","0.16410303335136592","253","253","253","0.12547799062884957","0.12547799062884957","0.12547799062884957","253","253","253","0.16673111551532913","0.16673111551532913","0.16673111551532913"
"21","265","265","265","0.17192039558519803","0.17192039558519803","0.17192039558519803","265","265","265","0.13683564885914673","0.13683564885914673","0.13683564885914673","265","265","265","0.1673112996538246","0.1673112996538246","0.1673112996538246"
"22","277","277","277","0.17340015635045739","0.17340015635045739","0.17340015635045739","277","277","277","0.1250304435369978","0.1250304435369978","0.1250304435369978","277","277","277","0.1773498595621083","0.1773498595621083","0.1773498595621083"
"23","289","289","289","0.1759927454268359","0.1759927454268359","0.1759927454268359","289","289","289","0.13506501312006308","0.13506501312006308","0.13506501312006308","289","289","289","0.1864430356572996","0.1864430356572996","0.1864430356572996"
"24","301","301","301","0.1892322339932623","0.1892322339932623","0.1892322339932623","301","301","301","0.142289411095484","0.142289411095484","0.142289411095484","301","301","301","0.1933598129471625","0.1933598129471625","0.1933598129471625"
"25","313","313","313","0.1671479340224694","0.1671479340224694","0.1671479340224694","313","313","313","0.151816151589458","0.151816151589458","0.151816151589458","313","313","313","0.19946727955683227","0.19946727955683227","0.19946727955683227"
"26","325","325","325","0.17349588474088493","0.17349588474088493","0.17349588474088493","325","325","325","0.13963370893255928","0.13963370893255928","0.13963370893255928","325","325","325","0.18337249818736454","0.18337249818736454","0.18337249818736454"
"27","337","337","337","0.18238045820254323","0.18238045820254323","0.18238045820254323","337","337","337","0.14076585305967798","0.14076585305967798","0.14076585305967798","337","337","337","0.1877473784762115","0.1877473784762115","0.1877473784762115"
"28","349","349","349","0.19641295937920875","0.19641295937920875","0.19641295937920875","349","349","349","0.15862911780785444","0.15862911780785444","0.15862911780785444","349","349","349","0.19722322273953174","0.19722322273953174","0.19722322273953174"
"29","362","362","362","0.1943687407940585","0.1943687407940585","0.1943687407940585","362","362","362","0.16090266705535505","0.16090266705535505","0.16090266705535505","362","362","362","0.19902596707030976","0.19902596707030976","0.19902596707030976"
"30","374","374","374","0.2010088535156912","0.2010088535156912","0.2010088535156912","374","374","374","0.16106936919035628","0.16106936919035628","0.16106936919035628","374","374","374","0.19292625951250858","0.19292625951250858","0.19292625951250858"
"31","386","386","386","0.19825713813999532","0.19825713813999532","0.19825713813999532","386","386","386","0.17087106783478714","0.17087106783478714","0.17087106783478714","386","386","386","0.20866484271551522","0.20866484271551522","0.20866484271551522"
"32","398","398","398","0.20345498004414367","0.20345498004414367","0.20345498004414367","398","398","398","0.16435356548735797","0.16435356548735797","0.16435356548735797","398","398","398","0.2028007028084607","0.2028007028084607","0.2028007028084607"
"33","410","410","410","0.20710100742674886","0.20710100742674886","0.20710100742674886","410","410","410","0.17622786953415484","0.17622786953415484","0.17622786953415484","410","410","410","0.20881295590244237","0.20881295590244237","0.20881295590244237"
"34","422","422","422","0.21225084226830784","0.21225084226830784","0.21225084226830784","422","422","422","0.14795379296281996","0.14795379296281996","0.14795379296281996","422","422","422","0.21261248700806265","0.21261248700806265","0.21261248700806265"
"35","434","434","434","0.21633873994031907","0.21633873994031907","0.21633873994031907","434","434","434","0.1640126435807371","0.1640126435807371","0.1640126435807371","434","434","434","0.2128245952431954","0.2128245952431954","0.2128245952431954"
"36","446","446","446","0.198480482063774","0.198480482063774","0.198480482063774","446","446","446","0.17292306240149888","0.17292306240149888","0.17292306240149888","446","446","446","0.22144977659460155","0.22144977659460155","0.22144977659460155"
"37","458","458","458","0.2109349112327825","0.2109349112327825","0.2109349112327825","458","458","458","0.16981914550254815","0.16981914550254815","0.16981914550254815","458","458","458","0.22960299667217773","0.22960299667217773","0.22960299667217773"
"38","470","470","470","0.21757931289737134","0.21757931289737134","0.21757931289737134","470","470","470","0.17430773764554996","0.17430773764554996","0.17430773764554996","470","470","470","0.20643561059211626","0.20643561059211626","0.20643561059211626"
"39","483","483","483","0.20582136057704742","0.20582136057704742","0.20582136057704742","483","483","483","0.17292969248288045","0.17292969248288045","0.17292969248288045","483","483","483","0.21380370008011892","0.21380370008011892","0.21380370008011892"
"40","495","495","495","0.21393947772752203","0.21393947772752203","0.21393947772752203","495","495","495","0.17946475887207256","0.17946475887207256","0.17946475887207256","495","495","495","0.20553182363584277","0.20553182363584277","0.20553182363584277"
"41","507","507","507","0.2191487538596521","0.2191487538596521","0.2191487538596521","507","507","507","0.17998587924188467","0.17998587924188467","0.17998587924188467","507","507","507","0.22153333916424625","0.22153333916424625","0.22153333916424625"
