"epoch","yv5s-coco-zipf-loss-weights-tuned - _step","yv5s-coco-zipf-loss-weights-tuned - _step__MIN","yv5s-coco-zipf-loss-weights-tuned - _step__MAX","yv5s-coco-zipf-loss-weights-tuned - cls","yv5s-coco-zipf-loss-weights-tuned - cls__MIN","yv5s-coco-zipf-loss-weights-tuned - cls__MAX","yv5s-coco-zipf-loss-weights - _step","yv5s-coco-zipf-loss-weights - _step__MIN","yv5s-coco-zipf-loss-weights - _step__MAX","yv5s-coco-zipf-loss-weights - cls","yv5s-coco-zipf-loss-weights - cls__MIN","yv5s-coco-zipf-loss-weights - cls__MAX","yv5s-coco-zipf - _step","yv5s-coco-zipf - _step__MIN","yv5s-coco-zipf - _step__MAX","yv5s-coco-zipf - cls","yv5s-coco-zipf - cls__MIN","yv5s-coco-zipf - cls__MAX"
"0","5.5","1","10","0.042740961723029616","0.030227744951844215","0.057036954909563065","5.5","1","10","0.2548755779862404","0.21027657389640808","0.3669026494026184","5.5","1","10","0.05310296751558781","0.048843853175640106","0.061219893395900726"
"1","17.5","13","22","0.027196426503360273","0.02254055067896843","0.03593723103404045","17.5","13","22","0.2179226666688919","0.20514318346977234","0.2399129569530487","17.5","13","22","0.049636314064264296","0.048471007496118546","0.05122647434473038"
"2","29.5","25","34","0.022490028664469718","0.021531878039240837","0.023551596328616142","29.5","25","34","0.2094258651137352","0.20028696954250336","0.21566644310951233","29.5","25","34","0.04449993297457695","0.04054487869143486","0.04719196632504463"
"3","41.5","37","46","0.020392041094601153","0.01777443289756775","0.02315881848335266","41.5","37","46","0.1994831383228302","0.1809600293636322","0.21636329591274261","41.5","37","46","0.04062838889658451","0.03807659447193146","0.044188350439071655"
"4","53.5","49","58","0.018561760894954205","0.017867114394903183","0.020408490672707558","53.5","49","58","0.1822296902537346","0.17596355080604553","0.19488835334777832","53.5","49","58","0.03816460147500038","0.03650379925966263","0.04069976508617401"
"5","65.5","61","70","0.016851774603128433","0.015636686235666275","0.017892753705382347","65.5","61","70","0.17236420065164565","0.15534302592277527","0.17802904546260834","65.5","61","70","0.03591912761330605","0.033792149275541306","0.03828955441713333"
"6","77.5","73","82","0.015767255518585443","0.014167401008307934","0.017832327634096146","77.5","73","82","0.1590069279074669","0.1446218490600586","0.18510745465755463","77.5","73","82","0.0344977542757988","0.030664972960948944","0.037987321615219116"
"7","89.5","85","94","0.01480041816830635","0.013579661026597023","0.018255412578582764","89.5","85","94","0.15675725638866425","0.14115934073925018","0.1970658004283905","89.5","85","94","0.031852344237267974","0.029357071965932846","0.03500586748123169"
"8","101.5","97","106","0.014347249176353216","0.012585918419063091","0.01647282764315605","101.5","97","106","0.14920682460069656","0.13265621662139893","0.1724551022052765","101.5","97","106","0.030291900038719177","0.02743832767009735","0.03323597460985184"
"9","114","109","119","0.014149366539310326","0.011678116396069527","0.015918239951133728","114","109","119","0.15216568518768658","0.12673494219779968","0.17072147130966187","114","109","119","0.028711321848359974","0.022173969075083733","0.03255356475710869"
"10","126.5","122","131","0.013735049497336149","0.012696677818894386","0.01520928181707859","126.5","122","131","0.14597168266773225","0.13128027319908142","0.16293779015541077","126.5","122","131","0.03012634366750717","0.02756129950284958","0.032538264989852905"
"11","138.5","134","143","0.012606429494917392","0.011607496999204159","0.014914787374436855","138.5","134","143","0.1340718075633049","0.1261785328388214","0.16072845458984375","138.5","134","143","0.027470429427921772","0.025763647630810738","0.02955799177289009"
"12","150.5","146","155","0.012322474271059036","0.01046029757708311","0.013410738669335842","150.5","146","155","0.13514377176761627","0.11286577582359314","0.14941667020320892","150.5","146","155","0.02681294661015272","0.022392787039279938","0.028939243406057358"
"13","162.5","158","167","0.012051711603999139","0.010797858238220215","0.013911235146224499","162.5","158","167","0.13133654221892357","0.121383897960186","0.1428818553686142","162.5","158","167","0.026460751704871655","0.022608522325754166","0.029770417138934135"
"14","174.5","170","179","0.012271601241081953","0.010758294723927975","0.014236914925277233","174.5","170","179","0.13361244425177574","0.11863701790571213","0.1408260315656662","174.5","170","179","0.02644297797232866","0.023358967155218124","0.02929605543613434"
"15","186.5","182","191","0.011677435785531997","0.01086184661835432","0.013038861565291882","186.5","182","191","0.12461065351963044","0.11385414004325867","0.13490553200244904","186.5","182","191","0.026348676159977914","0.023272551596164703","0.029091574251651764"
"16","198.5","194","203","0.011692692711949348","0.00991775281727314","0.012898336164653301","198.5","194","203","0.12598913833498954","0.11457738280296326","0.1462353616952896","198.5","194","203","0.024994082003831863","0.02237587422132492","0.02715563029050827"
"17","210.5","206","215","0.011382387578487396","0.009853088296949863","0.012518106959760189","210.5","206","215","0.12672823742032052","0.11495166271924973","0.146746426820755","210.5","206","215","0.024560645595192908","0.02100287564098835","0.027720866724848747"
"18","222.5","218","227","0.011143000423908233","0.009187591262161732","0.0121756037697196","222.5","218","227","0.1216398037970066","0.10416059195995331","0.13508948683738708","222.5","218","227","0.024599236249923707","0.022125311195850372","0.02673211507499218"
"19","235","230","240","0.011053149080411955","0.008846635930240154","0.012751827947795391","235","230","240","0.12208974429152229","0.10666611790657043","0.13991764187812805","235","230","240","0.022509137337858028","0.018655547872185707","0.02509131096303463"
"20","247.5","243","252","0.01046860394999385","0.009819570928812027","0.011241229251027107","247.5","243","252","0.11430409178137779","0.11012844741344452","0.12353648245334625","247.5","243","252","0.02346362192183733","0.019980164244771004","0.028595704585313797"
"21","259.5","255","264","0.010843301098793745","0.009263095445930958","0.012581362389028072","259.5","255","264","0.12002458497881889","0.11004394292831421","0.1378846913576126","259.5","255","264","0.023614388704299927","0.02093963697552681","0.026892945170402527"
"22","271.5","267","276","0.010603911895304918","0.009721408598124981","0.011935430578887463","271.5","267","276","0.11356867626309394","0.09828327596187592","0.12170980125665665","271.5","267","276","0.023678209632635117","0.021030746400356293","0.027242790907621384"
"23","283.5","279","288","0.010083863977342844","0.00848119892179966","0.012561151757836342","283.5","279","288","0.1131708301603794","0.09383491426706314","0.13456371426582336","283.5","279","288","0.02263154536485672","0.020426636561751366","0.027738753706216812"
"24","295.5","291","300","0.010316934902220964","0.00914725475013256","0.012404118664562702","295.5","291","300","0.11372630670666695","0.09713996201753616","0.12829867005348206","295.5","291","300","0.02280568704009056","0.019547846168279648","0.024878934025764465"
"25","307.5","303","312","0.010184264555573464","0.009332671761512756","0.01274834480136633","307.5","303","312","0.10953471213579177","0.09768608212471008","0.12831328809261322","307.5","303","312","0.022868761233985423","0.019569845870137215","0.025056615471839905"
"26","319.5","315","324","0.00976613163948059","0.00798106286674738","0.011823587119579315","319.5","315","324","0.10724914446473122","0.091755710542202","0.12809772789478302","319.5","315","324","0.022083862870931625","0.01978907361626625","0.023661665618419647"
"27","331.5","327","336","0.009511402249336243","0.008300619199872017","0.010911301709711552","331.5","327","336","0.10674185752868652","0.0973740667104721","0.11640293151140213","331.5","327","336","0.02073144484311342","0.017548860982060432","0.023637061938643456"
"28","343.5","339","348","0.009758548345416784","0.00850054994225502","0.011675951071083546","343.5","339","348","0.10726648792624474","0.09211907535791397","0.1175505667924881","343.5","339","348","0.021436802111566067","0.01907283067703247","0.02347390726208687"
"29","356","351","361","0.010041538033295761","0.007898216135799885","0.012114336714148521","356","351","361","0.11132354695688594","0.08535837382078171","0.12949343025684357","356","351","361","0.022160284559835087","0.01877017319202423","0.026263130828738213"
"30","368.5","364","373","0.009670325461775065","0.008188338950276375","0.011883886530995369","368.5","364","373","0.10918806195259094","0.09846529364585876","0.13561561703681946","368.5","364","373","0.021260410733520984","0.019416261464357376","0.023896722123026848"
"31","380.5","376","385","0.009393625799566508","0.008125285618007183","0.010710158385336399","380.5","376","385","0.10167959555983544","0.0898965448141098","0.1115778237581253","380.5","376","385","0.020096260495483874","0.01655382476747036","0.022511407732963562"
"32","392.5","388","397","0.009091397933661937","0.0081704743206501","0.01006042305380106","392.5","388","397","0.09988237768411637","0.08366422355175018","0.11554015427827835","392.5","388","397","0.01971694193780422","0.017269523814320564","0.02315930835902691"
