"epoch","yv5s-coco-zipf-loss-weights-tuned - _step","yv5s-coco-zipf-loss-weights-tuned - _step__MIN","yv5s-coco-zipf-loss-weights-tuned - _step__MAX","yv5s-coco-zipf-loss-weights-tuned - map","yv5s-coco-zipf-loss-weights-tuned - map__MIN","yv5s-coco-zipf-loss-weights-tuned - map__MAX","yv5s-coco-zipf-loss-weights - _step","yv5s-coco-zipf-loss-weights - _step__MIN","yv5s-coco-zipf-loss-weights - _step__MAX","yv5s-coco-zipf-loss-weights - map","yv5s-coco-zipf-loss-weights - map__MIN","yv5s-coco-zipf-loss-weights - map__MAX","yv5s-coco-zipf - _step","yv5s-coco-zipf - _step__MIN","yv5s-coco-zipf - _step__MAX","yv5s-coco-zipf - map","yv5s-coco-zipf - map__MIN","yv5s-coco-zipf - map__MAX"
"0","11","11","11","0.0007115589105524123","0.0007115589105524123","0.0007115589105524123","11","11","11","0.0011795653263106942","0.0011795653263106942","0.0011795653263106942","11","11","11","0.00043610292856981046","0.00043610292856981046","0.00043610292856981046"
"1","23","23","23","0.0010640949476510286","0.0010640949476510286","0.0010640949476510286","23","23","23","0.000977785442955792","0.000977785442955792","0.000977785442955792","23","23","23","0.0018239711127750293","0.0018239711127750293","0.0018239711127750293"
"2","35","35","35","0.004130909219384193","0.004130909219384193","0.004130909219384193","35","35","35","0.002012438140809536","0.002012438140809536","0.002012438140809536","35","35","35","0.015783226073325603","0.015783226073325603","0.015783226073325603"
"3","47","47","47","0.02219792827963829","0.02219792827963829","0.02219792827963829","47","47","47","0.0067943246103823185","0.0067943246103823185","0.0067943246103823185","47","47","47","0.02575542031511471","0.02575542031511471","0.02575542031511471"
"4","59","59","59","0.03376327082514763","0.03376327082514763","0.03376327082514763","59","59","59","0.00938771478831768","0.00938771478831768","0.00938771478831768","59","59","59","0.029409799987770293","0.029409799987770293","0.029409799987770293"
"5","71","71","71","0.05245751887559891","0.05245751887559891","0.05245751887559891","71","71","71","0.018285609781742096","0.018285609781742096","0.018285609781742096","71","71","71","0.06319655643846868","0.06319655643846868","0.06319655643846868"
"6","83","83","83","0.0637364536523819","0.0637364536523819","0.0637364536523819","83","83","83","0.027717627584934235","0.027717627584934235","0.027717627584934235","83","83","83","0.07089517471685132","0.07089517471685132","0.07089517471685132"
"7","95","95","95","0.06222738325595856","0.06222738325595856","0.06222738325595856","95","95","95","0.02850285917520523","0.02850285917520523","0.02850285917520523","95","95","95","0.08873934884894064","0.08873934884894064","0.08873934884894064"
"8","107","107","107","0.06531944870948792","0.06531944870948792","0.06531944870948792","107","107","107","0.03203188255429268","0.03203188255429268","0.03203188255429268","107","107","107","0.08298065828156341","0.08298065828156341","0.08298065828156341"
"9","120","120","120","0.08144563436508179","0.08144563436508179","0.08144563436508179","120","120","120","0.04740261286497116","0.04740261286497116","0.04740261286497116","120","120","120","0.10683253686607212","0.10683253686607212","0.10683253686607212"
"10","132","132","132","0.09645097702741623","0.09645097702741623","0.09645097702741623","132","132","132","0.03158972039818764","0.03158972039818764","0.03158972039818764","132","132","132","0.1204842996448922","0.1204842996448922","0.1204842996448922"
"11","144","144","144","0.10269160568714142","0.10269160568714142","0.10269160568714142","144","144","144","0.047637585550546646","0.047637585550546646","0.047637585550546646","144","144","144","0.13241507584412507","0.13241507584412507","0.13241507584412507"
"12","156","156","156","0.10803548991680145","0.10803548991680145","0.10803548991680145","156","156","156","0.04639030247926712","0.04639030247926712","0.04639030247926712","156","156","156","0.13666377030322482","0.13666377030322482","0.13666377030322482"
"13","168","168","168","0.12536269426345825","0.12536269426345825","0.12536269426345825","168","168","168","0.05370187759399414","0.05370187759399414","0.05370187759399414","168","168","168","0.13008036305371434","0.13008036305371434","0.13008036305371434"
