"epoch","yv5s-coco-zipf-loss-weights-tuned - _step","yv5s-coco-zipf-loss-weights-tuned - _step__MIN","yv5s-coco-zipf-loss-weights-tuned - _step__MAX","yv5s-coco-zipf-loss-weights-tuned - obj","yv5s-coco-zipf-loss-weights-tuned - obj__MIN","yv5s-coco-zipf-loss-weights-tuned - obj__MAX","yv5s-coco-zipf-loss-weights - _step","yv5s-coco-zipf-loss-weights - _step__MIN","yv5s-coco-zipf-loss-weights - _step__MAX","yv5s-coco-zipf-loss-weights - obj","yv5s-coco-zipf-loss-weights - obj__MIN","yv5s-coco-zipf-loss-weights - obj__MAX","yv5s-coco-zipf - _step","yv5s-coco-zipf - _step__MIN","yv5s-coco-zipf - _step__MAX","yv5s-coco-zipf - obj","yv5s-coco-zipf - obj__MIN","yv5s-coco-zipf - obj__MAX"
"0","5.5","1","10","0.035494908690452576","0.03293894603848457","0.038341276347637177","5.5","1","10","0.03570343740284443","0.03291729465126991","0.038399770855903625","5.5","1","10","0.03514470458030701","0.031633343547582626","0.03723848611116409"
"1","17.5","13","22","0.03506866618990898","0.030931182205677032","0.03814953938126564","17.5","13","22","0.03545337803661823","0.03107651323080063","0.03795819729566574","17.5","13","22","0.034727543592453","0.0313374325633049","0.039864830672740936"
"2","29.5","25","34","0.03647932671010494","0.03328689932823181","0.03991822153329849","29.5","25","34","0.03595894351601601","0.03265593573451042","0.03936098888516426","29.5","25","34","0.03693997003138065","0.03293803706765175","0.04264817759394646"
"3","41.5","37","46","0.03758611418306827","0.03467855975031853","0.04052277281880379","41.5","37","46","0.03721962571144104","0.03419097512960434","0.040178678929805756","41.5","37","46","0.03525815643370152","0.031905706971883774","0.041414517909288406"
"4","53.5","49","58","0.0369661595672369","0.03195052221417427","0.041663240641355515","53.5","49","58","0.037206342071294786","0.03197813406586647","0.04161478206515312","53.5","49","58","0.03673099428415298","0.032318178564310074","0.04081110283732414"
"5","65.5","61","70","0.03628507144749164","0.034344062209129333","0.0394030399620533","65.5","61","70","0.03606083430349827","0.034462820738554","0.03903081640601158","65.5","61","70","0.03609373196959496","0.03234473243355751","0.038956522941589355"
"6","77.5","73","82","0.03533724769949913","0.032818667590618134","0.03689020872116089","77.5","73","82","0.03622692711651325","0.034156523644924164","0.03763256594538689","77.5","73","82","0.03487989790737629","0.03139200434088707","0.0376901812851429"
"7","89.5","85","94","0.03515071384608746","0.03268207982182503","0.03955892100930214","89.5","85","94","0.03592132031917572","0.032156527042388916","0.03945944830775261","89.5","85","94","0.03538550697267055","0.03303578123450279","0.03854928910732269"
"8","101.5","97","106","0.03527659736573696","0.03284350410103798","0.03863208368420601","101.5","97","106","0.036241470649838445","0.033937953412532806","0.038346704095602036","101.5","97","106","0.03600791953504086","0.03097500652074814","0.04041042551398277"
"9","114","109","119","0.03464009189470248","0.02949116751551628","0.04032628610730171","114","109","119","0.035763766447251495","0.030540676787495613","0.04162054508924484","114","109","119","0.03468300893225453","0.03022724948823452","0.03903956711292267"
"10","126.5","122","131","0.03497093729674816","0.032319992780685425","0.03812173008918762","126.5","122","131","0.03585785664618015","0.03297385573387146","0.03958394378423691","126.5","122","131","0.03471002615988254","0.030482962727546692","0.03878467530012131"
"11","138.5","134","143","0.033757146634161475","0.030052771791815758","0.03813852742314339","138.5","134","143","0.03502741288393736","0.03069794364273548","0.04012136533856392","138.5","134","143","0.033696471340954305","0.030630098655819893","0.03622514382004738"
"12","150.5","146","155","0.03349327184259891","0.029813216999173164","0.038945604115724564","150.5","146","155","0.03480896279215813","0.03169071301817894","0.04009614884853363","150.5","146","155","0.03477107733488083","0.02950901910662651","0.03874128684401512"
