"epoch","yv5s-coco-zipf-cas - _step","yv5s-coco-zipf-cas - _step__MIN","yv5s-coco-zipf-cas - _step__MAX","yv5s-coco-zipf-cas - map","yv5s-coco-zipf-cas - map__MIN","yv5s-coco-zipf-cas - map__MAX","yv5s-coco-zipf-rf-mean - _step","yv5s-coco-zipf-rf-mean - _step__MIN","yv5s-coco-zipf-rf-mean - _step__MAX","yv5s-coco-zipf-rf-mean - map","yv5s-coco-zipf-rf-mean - map__MIN","yv5s-coco-zipf-rf-mean - map__MAX","yv5s-coco-zipf - _step","yv5s-coco-zipf - _step__MIN","yv5s-coco-zipf - _step__MAX","yv5s-coco-zipf - map","yv5s-coco-zipf - map__MIN","yv5s-coco-zipf - map__MAX"
"0","11","11","11","0.0005408692522905767","0.0005408692522905767","0.0005408692522905767","11","11","11","0.00046658990322612226","0.00046658990322612226","0.00046658990322612226","11","11","11","0.00043610292856981046","0.00043610292856981046","0.00043610292856981046"
"1","23","23","23","0.0031943523790687323","0.0031943523790687323","0.0031943523790687323","23","23","23","0.0043477388098835945","0.0043477388098835945","0.0043477388098835945","23","23","23","0.0018239711127750293","0.0018239711127750293","0.0018239711127750293"
"2","35","35","35","0.007671174127608538","0.007671174127608538","0.007671174127608538","35","35","35","0.00750748859718442","0.00750748859718442","0.00750748859718442","35","35","35","0.015783226073325603","0.015783226073325603","0.015783226073325603"
"3","47","47","47","0.028810232877731323","0.028810232877731323","0.028810232877731323","47","47","47","0.013143904507160187","0.013143904507160187","0.013143904507160187","47","47","47","0.02575542031511471","0.02575542031511471","0.02575542031511471"
"4","59","59","59","0.04496854916214943","0.04496854916214943","0.04496854916214943","59","59","59","0.04295462369918823","0.04295462369918823","0.04295462369918823","59","59","59","0.029409799987770293","0.029409799987770293","0.029409799987770293"
"5","71","71","71","0.06978803873062134","0.06978803873062134","0.06978803873062134","71","71","71","0.06342285871505737","0.06342285871505737","0.06342285871505737","71","71","71","0.06319655643846868","0.06319655643846868","0.06319655643846868"
"6","83","83","83","0.08297955989837646","0.08297955989837646","0.08297955989837646","83","83","83","0.08536829799413681","0.08536829799413681","0.08536829799413681","83","83","83","0.07089517471685132","0.07089517471685132","0.07089517471685132"
"7","95","95","95","0.09202594310045242","0.09202594310045242","0.09202594310045242","95","95","95","0.08374346792697906","0.08374346792697906","0.08374346792697906","95","95","95","0.08873934884894064","0.08873934884894064","0.08873934884894064"
"8","107","107","107","0.09834107011556625","0.09834107011556625","0.09834107011556625","107","107","107","0.09948848187923431","0.09948848187923431","0.09948848187923431","107","107","107","0.08298065828156341","0.08298065828156341","0.08298065828156341"
"9","120","120","120","0.11948809027671814","0.11948809027671814","0.11948809027671814","120","120","120","0.10010206699371338","0.10010206699371338","0.10010206699371338","120","120","120","0.10683253686607212","0.10683253686607212","0.10683253686607212"
